dept_code,dimensions,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
HRSD,age55to59,2440,2371,2474,2507,2646,0.11422
HRSD,age60to64,981,974,1043,1042,1109,0.04729
HRSD,age65plus,277,306,316,326,341,0.01438
IJC,age20less,.,.,.,.,3,0.01887
IJC,age20to24,1,2,2,2,1,0.05031
IJC,age25to29,3,2,3,2,2,0.07547
IJC,age30to34,3,4,4,3,2,0.10063
IJC,age35to39,2,2,2,3,4,0.08176
IJC,age40to44,4,6,5,5,3,0.14465
IJC,age45to49,3,5,6,3,4,0.13208
IJC,age50to54,4,3,5,7,6,0.15723
IJC,age55to59,5,1,3,4,5,0.11321
IJC,age60to64,2,4,1,1,.,0.05031
IJC,age65plus,5,2,1,2,2,0.07547
INAC,age20less,10,9,14,11,13,0.00239
INAC,age20to24,205,231,262,314,314,0.0557
INAC,age25to29,393,353,341,281,320,0.07091
INAC,age30to34,654,613,509,457,460,0.11312
INAC,age35to39,750,745,697,644,662,0.14694
INAC,age40to44,756,735,731,717,725,0.15391
INAC,age45to49,734,741,699,695,713,0.15047
INAC,age50to54,754,709,703,710,695,0.15
INAC,age55to59,440,439,450,469,525,0.09758
INAC,age60to64,217,212,204,202,204,0.04364
INAC,age65plus,62,70,74,82,77,0.01533
IOG,age20to24,.,.,.,3,1,0.00948
IOG,age25to29,3,2,.,.,2,0.01659
IOG,age30to34,5,7,5,6,5,0.06635
IOG,age35to39,7,6,8,6,7,0.08057
IOG,age40to44,12,10,8,12,10,0.12322
IOG,age45to49,21,20,15,14,14,0.19905
IOG,age50to54,9,13,16,18,23,0.1872
IOG,age55to59,15,14,12,11,9,0.14455
IOG,age60to64,6,5,10,8,12,0.09716
IOG,age65plus,6,8,6,7,5,0.07583
IPC,age20less,.,1,.,2,1,0.00303
IPC,age20to24,7,4,6,9,13,0.02952
IPC,age25to29,20,23,23,17,26,0.08251
IPC,age30to34,45,45,45,38,41,0.162
IPC,age35to39,42,41,44,45,41,0.16124
IPC,age40to44,32,39,37,35,31,0.13172
IPC,age45to49,38,34,39,34,36,0.13702
IPC,age50to54,36,35,41,36,43,0.14459
IPC,age55to59,23,24,27,24,21,0.09008
IPC,age60to64,13,13,15,14,7,0.04693
IPC,age65plus,2,2,5,5,1,0.01136
IRB,age20less,.,1,1,2,2,0.00121
