dept_code,activity_code,vs_type,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year
CCRA,ISS01,V,147408593.06,166552843.34,205367278.13000003,226844381.57,206871788.19
CCRA,ISS02,S,10832741.66,11631466.84,10859423.83,8676222.84,7755057.56
CCRA,ISS02,V,35800642.559999995,41850322.04,36780594.31,43424667.14,49063810.21
CCRA,ISS03,S,389642.76,382827.79,427233.29,501135.9,491887.63
CCRA,ISS03,V,2559612.9299999997,2770779.73,3005628.1899999995,3579943.4099999997,3512097.53
CCRA,ISS04,S,25242247.46,30219712.939999998,33677345.57,34170230.42,31748831.82
CCRA,ISS04,V,119720463.03,125890975.78,149947820.75,184895581.85999998,176240614.27
CCRA,ISS05,S,67835811.99,95598181.13,98791483.13,67704446.72,62559496.36
CCRA,ISS05,V,-12315749.27,-42466974.230000004,-34730627.35,5684044.3200000115,12625976.299999999
CCRA,ISS06,S,1174763.07,2042857.69,2020172.8,2148268.5300000003,1686513.3399999999
CCRA,ISS06,V,16308090.780000001,26383697.4,14507931.040000001,16948143.61,20434069.85
CCRA,ISS07,S,163058691.29,130712373.89,120445754.42,117911358.37,118252467.68
CCRA,ISS07,V,255783166.63000003,429680801.53000003,341680123.13,421793040.66,409104649.53999996
CCRA,ISS08,S,30345842.54,59191381.44,34893065.09,33423299.0,28494527.86
CCRA,ISS08,V,8187767.119999999,-16183286.309999997,10730950.77,13741893.94,23324761.48
CCRA,ISS09,S,3753209.4000000004,2936600.37,3161316.9200000004,3348550.71,3322106.62
CCRA,ISS09,V,31035833.41,24888796.07,22706263.639999997,25088605.08,23539472.57
CCRA,ISS0Z,S,1316125.6400000001,1206166.5,1300145.3,1376727.39,1316523.02
CCRA,ISS0Z,V,9870218.47,9110601.040000001,9006254.18,9528327.94,9081873.34
CDC,BGA00,V,4576877.0,4291407.0,4543733.0,5375706.0,5148853.0
CEAA,BGV01,S,1374353.16,,,,
CEAA,BGV01,V,28939877.27,,,,
CEAA,BGV02,S,3248471.12,,,,
CEAA,BGV02,V,33637483.769999996,,,,
CEAA,BGV03,S,,4609458.02,4606575.17,6518820.6,5535065.3100000005
CEAA,BGV03,V,,44345790.18,46556928.4,53582582.5,53814815.050000004
CEAA,BGV04,S,,529256.75,528925.79,513174.7,776032.1599999999
CEAA,BGV04,V,,9401455.31,9853331.8,18027962.29,18602414.6
CEAA,ISS20,S,1618255.9100000001,1015434.76,1014799.5,1834506.2899999998,2280537.2800000003
CEAA,ISS20,V,8065048.25,12099341.32,9944917.7,17067769.74,23778378.92
CEO,BGG01,S,97242065.24,402192473.38,,,
CEO,BGG01,V,10404045.04,10856046.059999999,,,
CEO,BGG02,S,6025785.32,8181617.62,,,
CEO,BGG02,V,6736119.159999999,6544970.75,,,
CEO,BGG03,S,14025785.86,43106383.07,,,
CEO,BGG03,V,5037418.05,4427241.600000001,,,
CEO,BGG04,S,-3959651.529999999,73168278.58,,,
CEO,BGG04,V,8046852.43,7513891.7,,,
CEO,BXX01,S,4099164.3,3693763.91,,,
CEO,BXX01,V,3671319.7399999998,3573521.1,,,
CEO,BYG01,S,,,10028988.97,1259115.27,
CEO,BYG01,V,,,90948.58,64982.020000000004,
CEO,BYI01,S,,,9599176.02,13612317.32,19110901.750000004
CEO,BYI01,V,,,3716834.82,4744940.800000001,4275337.32
CEO,BYI02,S,,,49537616.53,71743107.04,121238835.54
CEO,BYI02,V,,,6065528.4399999995,7620118.55,6470767.67
CEO,BYI03,S,,,13423603.64,18267713.900000002,20414585.669999998
CEO,BYI03,V,,,5047233.23,6410256.42,5559616.97
CEO,BYI04,S,,,9939277.28,13220237.040000001,10963752.09
CEO,BYI04,V,,,6967690.62,8472893.600000001,8313594.64
CEO,BYJ01,S,,,3854406.53,5094105.56,6414600.7700000005
CEO,BYJ01,V,,,3644874.67,4328760.39,4828431.34
CEO,BYJ02,S,,,13432240.41,8735306.53,8770402.870000001
CEO,BYJ02,V,,,6266017.72,7163402.7299999995,7034927.340000001
CEO,BYJ03,S,,,1728405.01,1649947.9000000001,1712994.32
CEO,BYJ03,V,,,1676068.35,2067612.8199999998,2248256.27
CEO,ISS00,S,39863466.62,45768342.67,49390042.78,50700758.83,60620005.39
CEO,ISS00,V,17637790.560000002,18261317.56,18724420.78,23910914.9,25302682.110000003
CFDC,BSQ00,S,22814187.02,,,,
CFDC,BSQ00,V,69276028.93,91206087.77,106054136.27,107173011.17,105294164.64
CFDC,BSR00,S,7029493.0,,,,
CFDC,BSR00,V,21050490.93,45428516.400000006,50374028.04,33089701.45,38117122.75
CFDC,ISS00,S,156811.98,,,,
CFDC,ISS00,V,11981229.42,14593994.83,14622305.23,15013431.379999999,14891043.61
CFGB,BUZ01,S,521635.45999999996,482589.80000000005,498856.54000000004,571072.0900000001,656841.64
CFGB,BUZ01,V,4456865.74,4328604.95,4207635.61,4650718.51,5202473.58
CFGB,ISS00,S,280880.64,259856.02000000002,268945.68,245888.6,281503.72000000003
CFGB,ISS00,V,1935837.8900000001,1954010.51,2113762.0500000003,2294410.1599999997,2262374.2800000003
CFIA,BUH01,S,2458119.48,2499022.9699999997,2789146.49,3333348.2800000003,3266415.4400000004
CFIA,BUH01,V,16718256.030000001,18696102.599999998,21062538.92,22289096.979999997,24415654.8
CFIA,BUH02,S,269134.96,212945.98,290518.61,320107.92,397754.4
CFIA,BUH02,V,1601950.79,2121957.75,2179443.99,3115017.08,2886712.73
CFIA,BUH03,S,5472842.11,7584008.1899999995,8522607.77,19370090.96,30176632.750000004
CFIA,BUH03,V,34472051.17,36637347.32,42713582.309999995,51421603.339999996,38736110.72
CFIA,BUH04,S,3718918.06,4636287.02,15239554.85,15037425.3,20607017.49
CFIA,BUH04,V,22196032.82,25926047.5,32001049.070000004,37390976.96,31073107.330000002
CFIA,BUH05,S,3595538.81,6339855.28,4915299.17,5434549.57,4736130.8100000005
CFIA,BUH05,V,29094475.830000002,30946763.37,32699579.04,35315373.13,39972932.93
CFIA,BUH06,S,803660.97,904773.8,926732.0800000001,1076486.48,1087152.58
CFIA,BUH06,V,6896345.029999999,6997254.03,8406508.069999998,9500233.33,9863264.07
CFIA,BUH07,S,14852506.15,15391991.12,103877112.92,124282440.89,81759585.57000001
CFIA,BUH07,V,53078378.81,58138661.94,83698458.29,70214810.73,74363465.36
CFIA,BUH08,S,3425133.07,3467962.4,3328682.89,3526566.7399999998,3294292.8200000003
CFIA,BUH08,V,20725259.18,21852395.58,22483233.31,22997595.98,22920108.14
CFIA,BUH09,S,7061257.95,6315588.97,6872608.029999999,7436920.17,7074011.47
CFIA,BUH09,V,45564795.489999995,48437432.34,49197347.019999996,52813274.13,55260872.35
CFIA,BUH10,S,1700400.49,1913251.6,1800533.44,1999097.9799999997,1946547.5
CFIA,BUH10,V,14589499.919999998,16375794.549999999,14720160.57,15746019.790000001,15687607.58
CFIA,BUH11,S,29232140.23,35831923.57,34018887.26,37935086.42,36409517.980000004
CFIA,BUH11,V,266618866.58999997,241188215.62,243702848.35,267645129.08,255368394.95
CFIA,BUH12,S,10411546.64,3640052.5,25289934.08,5246951.66,4543108.02
CFIA,BUH12,V,29941937.91,32223724.37,34823340.35,33962740.05,34349569.22
CFIA,BUH13,S,719882.13,1251536.38,1337952.68,1485885.48,662772.6799999999
CFIA,BUH13,V,5316960.39,4915138.41,5335172.610000001,5217276.26,6244600.42
CFIA,BUH14,S,575695.77,532945.9199999999,539169.25,591406.21,588177.23
CFIA,BUH14,V,3857468.92,3966896.51,4043016.42,4400531.7,4428643.720000001
