"deptcode","ID"
"NSERC","table12"
"NSERC","table2"
"NSERC","table300"
"NSERC","table302"
"NSERC","table303"
"NSERC","table304"
"NSERC","table305"
"NSERC","table4"
"NSERC","table5"
"NSERC","table6"
"NSERC","table7"
"NSERC","table8"
"NSERC","table9"
"NSICP","table8"
"OAG","table1"
"OAG","table10"
"OAG","table11"
"OAG","table111"
"OAG","table112"
"OAG","table12"
"OAG","table2"
"OAG","table300"
"OAG","table302"
"OAG","table303"
"OAG","table304"
"OAG","table305"
"OAG","table4"
"OAG","table5"
"OAG","table6"
"OAG","table8"
"OAG","table9"
"OCI","table1"
"OCI","table10"
"OCI","table11"
"OCI","table111"
"OCI","table112"
"OCI","table12"
"OCI","table2"
"OCI","table300"
"OCI","table302"
"OCI","table303"
"OCI","table304"
"OCI","table305"
"OCI","table4"
"OCI","table5"
"OCI","table6"
"OCI","table8"
"OCI","table9"
"OCOL","table1"
"OCOL","table10"
"OCOL","table11"
"OCOL","table111"
"OCOL","table112"
"OCOL","table113"
"OCOL","table12"
"OCOL","table2"
"OCOL","table300"
"OCOL","table302"
"OCOL","table303"
"OCOL","table304"
"OCOL","table305"
"OCOL","table4"
"OCOL","table5"
"OCOL","table6"
"OCOL","table8"
"OCOL","table9"
"OCSEC","table1"
"OCSEC","table12"
"OCSEC","table2"
"OCSEC","table300"
"OCSEC","table305"
"OCSEC","table4"
"OCSEC","table5"
"OCSEC","table6"
"OCSEC","table8"
"ODPP","table1"
"ODPP","table10"
"ODPP","table11"
"ODPP","table111"
"ODPP","table112"
"ODPP","table113"
"ODPP","table12"
"ODPP","table2"
"ODPP","table300"
"ODPP","table302"
"ODPP","table303"
"ODPP","table304"
"ODPP","table305"
"ODPP","table4"
"ODPP","table5"
"ODPP","table6"
"ODPP","table8"
"ODPP","table9"
"OEC","table300"
"OEC","table305"
"OEC","table4"
"OEC","table5"
"OEC","table6"
"OEC","table8"
"OICC","table1"
"OICC","table10"
"OICC","table11"
"OICC","table111"
"OICC","table112"
"OICC","table113"
"OICC","table12"
"OICC","table2"
"OICC","table300"
"OICC","table302"
"OICC","table303"
"OICC","table304"
"OICC","table305"
"OICC","table4"
"OICC","table5"
"OICC","table6"
"OICC","table7"
"OICC","table8"
"OICC","table9"
"OPSIC","table1"
"OPSIC","table10"
"OPSIC","table11"
"OPSIC","table111"
"OPSIC","table112"
"OPSIC","table113"
"OPSIC","table12"
"OPSIC","table2"
"OPSIC","table300"
"OPSIC","table302"
"OPSIC","table303"
"OPSIC","table304"
"OPSIC","table305"
"OPSIC","table4"
"OPSIC","table5"
"OPSIC","table6"
"OPSIC","table7"
"OPSIC","table8"
"OPSIC","table9"
