"dept_code","so_num","in_year_auth","in_year_quarter_exp","in_year_cumul_exp","last_year_auth","last_year_quarter_exp","last_year_cumul_exp"
"GG",2,1604000,384000,384000,1900000,411000,411000
"GG",3,770000,147000,147000,770000,136000,136000
"GG",4,1500000,263000,263000,1974000,263000,263000
"GG",5,520000,117000,117000,490000,78000,78000
"GG",6,15000,4000,4000,15000,1000,1000
"GG",7,1022000,183000,183000,1022000,216000,216000
"GG",9,330000,33000,33000,430000,59000,59000
"GG",10,740000,186000,186000,728000,182000,182000
"GG",12,70000,8000,8000,70000,7000,7000
"GSC",1,1483419000,361151000,361151000,1184598000,323664000,323664000
"GSC",2,80405000,15236000,15236000,72139000,14508000,14508000
"GSC",3,22410000,2268000,2268000,21317000,1843000,1843000
"GSC",4,1888189000,232057000,232057000,1838504000,258712000,258712000
"GSC",5,1146697000,354830000,354830000,1265713000,367926000,367926000
"GSC",6,1112854000,191580000,191580000,1055548000,182370000,182370000
"GSC",7,261054000,26434000,26434000,107729000,23934000,23934000
"GSC",8,421188000,67441000,67441000,373026000,58310000,58310000
"GSC",9,108665000,17108000,17108000,92657000,16591000,16591000
"GSC",10,0,362760000,362760000,0,327638000,327638000
"GSC",11,123452000,30863000,30863000,128574000,33046000,33046000
"GSC",12,461301000,40836000,40836000,475784000,44768000,44768000
"GSC",20,-3548522000,-470200000,-470200000,-3339819000,-330195000,-330195000
"H",1,823856000,172714000,172714000,796519000,158869000,158869000
"H",2,22252000,3042000,3042000,20449000,2467000,2467000
"H",3,23011000,2887000,2887000,27081000,1819000,1819000
"H",4,121045000,25234000,25234000,140886000,27944000,27944000
"H",5,19422000,2675000,2675000,17556000,2193000,2193000
"H",6,15467000,1765000,1765000,29181000,1331000,1331000
"H",7,24617000,1938000,1938000,25909000,1657000,1657000
"H",8,0,4000,4000,0,371000,371000
"H",9,22100000,1843000,1843000,26097000,878000,878000
"H",10,1566569000,701998000,701998000,1407055000,167775000,167775000
"H",12,3364000,14615000,14615000,3232000,1279000,1279000
"H",20,-159681000,-29984000,-29984000,-157276000,-26274000,-26274000
"HRSD",1,2283427000,525653000,525653000,1963803000,516622000,516622000
"HRSD",2,65997000,11019000,11019000,57471000,10289000,10289000
"HRSD",3,71062000,12107000,12107000,60336000,9332000,9332000
"HRSD",4,615488000,94704000,94704000,622898000,106768000,106768000
"HRSD",5,278059000,10895000,10895000,265531000,9924000,9924000
"HRSD",6,8267000,318000,318000,6239000,430000,430000
"HRSD",7,9749000,799000,799000,7123000,912000,912000
"HRSD",9,58836000,4015000,4015000,29635000,2407000,2407000
"HRSD",10,63369314000,15407775000,15407775000,59843279000,14495686000,14495686000
"HRSD",12,7221000,3071000,3071000,7848000,-191000,-191000
"HRSD",20,-1958256000,-374265000,-374265000,-1934414000,-404125000,-404125000
"INAC",1,306466000,70121000,70121000,279881000,78888000,78888000
"INAC",2,15901000,1346000,1346000,23172000,2903000,2903000
"INAC",3,5525000,632000,632000,6689000,788000,788000
"INAC",4,231515000,10320000,10320000,238048000,10509000,10509000
"INAC",5,17124000,1632000,1632000,16467000,2002000,2002000
"INAC",6,2637000,73000,73000,1442000,54000,54000
"INAC",7,2951000,154000,154000,3461000,335000,335000
"INAC",8,5813000,0,0,12300000,0,0
"INAC",9,3492000,199000,199000,2791000,276000,276000
"INAC",10,3566977000,660784000,660784000,2416408000,511193000,511193000
"INAC",11,0,0,0,0,0,0
"INAC",12,2790334000,77989000,77989000,85545000,56394000,56394000
"INAC",20,-13083000,0,0,-2000000,0,0
"INDSC",1,480610000,91156000,91156000,379882000,92092000,92092000
"INDSC",2,422581000,58098000,58098000,325260000,55630000,55630000
"INDSC",3,2986000,46000,46000,1967000,111000,111000
"INDSC",4,640712000,108882000,108882000,484209000,83433000,83433000
"INDSC",5,5736000,325000,325000,4722000,313000,313000
"INDSC",6,6849000,209000,209000,6316000,297000,297000
"INDSC",7,693900000,110696000,110696000,585381000,120467000,120467000
"INDSC",9,5618000,11996000,11996000,5415000,8287000,8287000
"INDSC",10,10153041000,2612896000,2612896000,7936278000,2163708000,2163708000
"INDSC",12,2058000,14588000,14588000,2121000,19430000,19430000
"INDSC",20,-189179000,0,0,-159703000,-14350000,-14350000
"INVIC",1,7506000,1369000,1369000,7439000,399000,399000
"INVIC",2,1905000,283000,283000,3750000,57000,57000
"INVIC",3,7844000,419000,419000,6000000,15000,15000
"INVIC",4,16324000,613000,613000,5024000,270000,270000
"INVIC",5,300000,187000,187000,362000,0,0
"INVIC",6,120000,1000,1000,120000,0,0
"INVIC",7,1025000,75000,75000,490000,0,0
"INVIC",9,1033000,75000,75000,0,1000,1000
"INVIC",12,0,2000,2000,0,4000,4000
"IPC",1,34956000,7014000,7014000,26728000,6428000,6428000
"IPC",2,573000,137000,137000,1040000,104000,104000
"IPC",3,473000,59000,59000,801000,124000,124000
"IPC",4,5862000,741000,741000,7655000,788000,788000
"IPC",5,833000,391000,391000,1342000,354000,354000
"IPC",6,85000,31000,31000,262000,17000,17000
"IPC",7,132000,29000,29000,244000,22000,22000
"IPC",9,606000,130000,130000,855000,77000,77000
"IPC",10,500000,2000,2000,500000,0,0
"IPC",12,2000,87000,87000,1000,61000,61000
"IPC",20,-200000,0,0,-200000,0,0
"IRB",1,160172000,34418000,34418000,108844000,26450000,26450000
"IRB",2,6055000,747000,747000,2080000,716000,716000
"IRB",3,603000,109000,109000,367000,71000,71000
"IRB",4,33026000,3915000,3915000,18839000,2972000,2972000
"IRB",5,1746000,489000,489000,1052000,374000,374000
"IRB",6,1206000,652000,652000,514000,44000,44000
"IRB",7,905000,157000,157000,538000,124000,124000
"IRB",8,2413000,0,0,0,0,0
"IRB",9,12970000,1032000,1032000,1028000,152000,152000
"IRB",12,0,478000,478000,49000,433000,433000
