dept_code,so_num,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year_1
CTA,12,41035.91,19440.01,7062.070000000001,73966.29,36098.51
CTAIB,1,30624739.98,30308937.2,30530502.3,33708882.089999996,33958609.23
CTAIB,2,467920.04,563518.98,1355199.1099999999,1584159.1199999999,1346721.91
CTAIB,3,198003.77000000002,141913.3,170327.92,203431.96,300435.08
CTAIB,4,2773698.32,3131923.31,2722254.07,4588663.0,4846295.78
CTAIB,5,513666.15,536002.52,761510.23,880201.01,976461.39
CTAIB,6,411063.36000000004,447957.88,423446.6,623096.28,540121.2
CTAIB,7,184061.01,196595.23,209827.38,225242.86,207467.16
CTAIB,8,34600.42,5262.19,,,
CTAIB,9,1154574.41,584703.92,622276.65,1703819.75,722890.29
CTAIB,12,11434.76,20102.04,18635.97,11155.25,78082.57
EA,1,1383764105.03,1391536843.87,1483736308.79,1684222018.39,1745585125.81
EA,2,90245343.72999999,117288566.38,151645701.48,154373683.70000002,212566689.2
EA,3,23388771.99,24531028.25,26869414.33,24972165.39,24406288.42
EA,4,328940897.4,334881312.53,360267715.63,385652690.34,432992601.1
EA,5,194387700.19,195337236.74,233148944.2,241135725.39000002,245817053.69000003
EA,6,31301927.23,34035303.22,30198837.71,28456729.84,36565986.16
EA,7,39190805.730000004,38263026.73,44314292.58,47488972.49,48098358.63
EA,8,18750813.54,45921898.8,39652991.56,32242302.46,33001103.099999998
EA,9,73514862.51,47568600.13,60673901.53,52495461.77,65704443.47
EA,10,7021170371.82,5848864248.36,6750387121.56,5818928719.88,6230147306.05
EA,12,181135213.84,41963046.61,123854353.97,43353247.26,28928862.959999997
EA,21,-43116619.42,-45034140.08,-49750896.43,-54519471.739999995,-58956576.35
EA,22,-967297.22,-946210.22,-795060.07,-722946.1799999999,-766498.87
EC,1,817494378.41,840409107.29,903174826.87,1057450700.9399999,1082792333.8
EC,2,13460175.26,19080301.68,37364182.69,36758625.33,37760562.37
EC,3,6647740.11,11889809.82,31556020.76,18254372.8,15686578.86
EC,4,175016877.60999998,204450302.71,224357686.86,237727090.31,208368592.49
EC,5,54662093.58,34542170.55,40843308.14,40894358.48,44335036.21
EC,6,17569482.47,14724772.040000001,16175532.29,21458558.61,23372695.82
EC,7,29938530.27,32085211.78,41684161.53,39204123.8,38963826.48
EC,8,1214754.5,1674177.95,1358981.55,4717541.97,4101117.0700000003
EC,9,35987822.45,34906055.79,43424593.56,43790232.61,47105023.38
EC,10,654720114.79,577281682.38,653152688.22,930316722.19,1534721576.92
EC,11,414021.33,364137.92,311445.75,255787.19,196994.69
EC,12,5455637.84,5470629.88,4674912.17,6568194.79,6412054.29
EC,21,-44356831.21,-41775204.75,-44264017.26,-49195251.53,-53602519.37
EC,22,-21438209.83,-22214490.46,-24132305.32,-26071601.21,-24445374.5
EDC,4,149546652.75,238560519.51,252879932.76,216036864.83,91602705.78
EDC,12,103471371.54,1017082760.73,1353550946.8300002,10306710492.18,491561037.3
ERC,1,2506763.96,3097840.04,3780881.07,4365839.38,5635966.46
ERC,2,8358.85,11206.67,74657.54000000001,25144.07,18345.1
ERC,3,1559.0,14578.0,20299.88,26081.54,31347.5
ERC,4,367761.41,404182.57,596077.91,566751.37,659310.26
ERC,5,5682.03,7118.4,29975.29,27752.12,8780.97
ERC,6,,606.61,7544.24,768.0,1957.62
ERC,7,41214.17,58216.270000000004,44327.88,48754.159999999996,39608.85
ERC,9,72977.53,36591.66,76818.45000000001,62154.229999999996,29530.75
ERC,12,181199.23,244364.33,247037.62,249128.04,263651.27
FBCL,12,6061390.14,9123879.0,4423000.0,7044808.6,17863915.09
FCAC,1,23008419.7,25369014.63,29677005.45,34816651.35,38027880.93
FCAC,2,212361.99,183098.2,372859.19,558907.77,408859.36
FCAC,3,2093054.3499999999,1606766.44,1615633.54,3474395.47,4654517.56
FCAC,4,6219726.51,7728820.72,10222415.879999999,8550710.07,7275230.54
FCAC,5,2178887.46,2746286.87,3035033.4499999997,3538625.6,3690259.3299999996
FCAC,6,28355.91,16013.239999999998,3983.13,18610.629999999997,16277.52
FCAC,7,69701.65,56750.84,66415.63,76323.23,81549.62
FCAC,8,,,5734568.56,612666.93,
FCAC,9,1193788.4400000002,933567.54,3046430.98,1390171.38,691936.9999999999
