"deptcode","activitycode","authority_2012","expenditure_2012","authority_2013","expenditure_2013","authority_2014","expenditure_2014","authority_2015","expenditure_2015","authority_2016","expenditure_2016","PlannedSpending_2017","PlannedSpending_2018","PlannedSpending_2019","PlannedSpending_1617"
"CRTC","CAA00",".",".",3210759,782518,2668870,1535438,2631995,1148085,2334972,2108823,1822198.00,1822198.00,1822198.00,1986234.00
"CRTC","CAB00",".",".",7012779,6046836,2988683,2084716,3086877,2163097,2882881,643740,2327711.00,2327711.00,2327711.00,2542213.00
"CRTC","CPA00",".",".",".",".",5749818,5076181,5674206,4730514,5421480,5227831,5038233.00,5038233.00,5038233.00,5152005.00
"CRTC","ISC00",5475585,3843738,3240457,3550507,3040349,2749827,2962732,2956721,3430277,3411152,2298055.00,2298055.00,2298055.00,2443243.00
"CSA","ANW00",63426642,52480907,58280568,55453614,63376550,58018955,67887841,61804033,76015457,79004716,87170086.00,75973949.00,76954189.00,66094200.00
"CSA","ANX00",163744393,130830203,303969896,207544469,264953284,175496334,263420570,209187061,229894207,170632929,115240643.00,120578228.00,89831556.00,215086172.00
"CSA","ANY00",108129993,87496584,101619388,96501810,106891653,97329795,120420790,96419798,101727757,92310988,96455420.00,88855640.00,82470773.00,99437361.00
"CSA","ISC00",51333820,49437721,46487895,49215347,47519454,45245854,49839727,45388166,51711225,46349645,54943762.00,47247580.00,48625752.00,51777088.00
"CSC","BER00",2267215837,1739638255,1831466540,1821642937,1736805173,1686218075,1580830730,1519751744,1567723732,1510190155,1528166844.00,1513016594.00,1512881594.00,1512168537.00
"CSC","BES00",585295460,457038705,597622774,463803680,492273803,452349073,425903801,398165375,407221400,398249136,407357544.00,407935993.00,407935993.00,408423801.00
"CSC","BET00",179364199,117648594,143266203,124169547,102236783,125590617,132316555,141891344,149595707,154796731,157830355.00,149560864.00,149560864.00,137257516.00
"CSC","ISC00",174569219,328673657,350675124,340675311,334272793,311070547,318317404,297976182,347136295,299568379,307354420.00,314796183.00,314796183.00,304742225.00
"CSEC","BNE00",299462036,287898173,302913938,302063349,621968733,609194573,446179236,438406622,434422421,421284315,429828281.00,429828281.00,429828281.00,"."
